Sum: 49995000





main shutdown
[112]: sampled: 22000, processed: 921000, actuated: 934000
[113]: sampled: 22000, processed: 1094000, actuated: 1107000
[114]: sampled: 21000, processed: 958000, actuated: 971000
[115]: sampled: 22000, processed: 1029000, actuated: 1042000
[116]: sampled: 22000, processed: 1096000, actuated: 1109000
[117]: sampled: 28000, processed: 886000, actuated: 899000
[118]: sampled: 22000, processed: 996000, actuated: 1009000
[119]: sampled: 21000, processed: 1011000, actuated: 1024000
[120]: sampled: 22000, processed: 1119000, actuated: 1132000
[121]: sampled: 21000, processed: 950000, actuated: 963000
[122]: sampled: 22000, processed: 954000, actuated: 967000
[123]: sampled: 22000, processed: 1043000, actuated: 1056000
[124]: sampled: 21000, processed: 929000, actuated: 942000
[125]: sampled: 22000, processed: 1056000, actuated: 1069000
[126]: sampled: 22000, processed: 953000, actuated: 966000
[127]: sampled: 506000, processed: 1612000, actuated: 1625000
[128]: sampled: 23000, processed: 1002000, actuated: 1015000
[129]: sampled: 22000, processed: 981000, actuated: 994000
[130]: sampled: 21000, processed: 1018000, actuated: 1031000
[131]: sampled: 21000, processed: 1037000, actuated: 1050000
[132]: sampled: 22000, processed: 1195000, actuated: 1208000
[133]: sampled: 22000, processed: 922000, actuated: 935000
[134]: sampled: 21000, processed: 1197000, actuated: 1210000
[135]: sampled: 21000, processed: 986000, actuated: 999000
[136]: sampled: 22000, processed: 1000000, actuated: 1013000
[137]: sampled: 22000, processed: 1144000, actuated: 1157000
[138]: sampled: 22000, processed: 981000, actuated: 994000
[139]: sampled: 114000, processed: 1132000, actuated: 1145000
[140]: sampled: 22000, processed: 1215000, actuated: 1228000
[141]: sampled: 21000, processed: 1083000, actuated: 1096000
[142]: sampled: 21000, processed: 1098000, actuated: 1111000
[143]: sampled: 22000, processed: 1015000, actuated: 1028000
[144]: sampled: 21000, processed: 906000, actuated: 919000
[145]: sampled: 22000, processed: 1046000, actuated: 1059000
[146]: sampled: 21000, processed: 1150000, actuated: 1163000
[147]: sampled: 22000, processed: 918000, actuated: 931000
[148]: sampled: 22000, processed: 949000, actuated: 962000
[149]: sampled: 21000, processed: 851000, actuated: 864000
[150]: sampled: 22000, processed: 1040000, actuated: 1053000
[151]: sampled: 22000, processed: 1015000, actuated: 1028000
[152]: sampled: 25000, processed: 1132000, actuated: 1145000
[153]: sampled: 23000, processed: 953000, actuated: 966000
[154]: sampled: 22000, processed: 991000, actuated: 1004000
[155]: sampled: 22000, processed: 1016000, actuated: 1029000
[156]: sampled: 20000, processed: 935000, actuated: 948000
[157]: sampled: 22000, processed: 937000, actuated: 950000
[158]: sampled: 21000, processed: 998000, actuated: 1011000
[159]: sampled: 22000, processed: 890000, actuated: 903000
[160]: sampled: 22000, processed: 1109000, actuated: 1122000
[161]: sampled: 22000, processed: 1110000, actuated: 1123000
[162]: sampled: 21000, processed: 1100000, actuated: 1113000
[163]: sampled: 22000, processed: 965000, actuated: 978000
[164]: sampled: 22000, processed: 1011000, actuated: 1024000
[165]: sampled: 383000, processed: 1377000, actuated: 1390000
[166]: sampled: 22000, processed: 888000, actuated: 901000
[167]: sampled: 21000, processed: 1077000, actuated: 1090000
[168]: sampled: 21000, processed: 1157000, actuated: 1170000
[169]: sampled: 22000, processed: 1088000, actuated: 1101000
[170]: sampled: 20000, processed: 1083000, actuated: 1096000
[171]: sampled: 22000, processed: 1095000, actuated: 1108000
[172]: sampled: 22000, processed: 1163000, actuated: 1176000
[173]: sampled: 22000, processed: 1100000, actuated: 1113000
[174]: sampled: 22000, processed: 981000, actuated: 994000
[175]: sampled: 22000, processed: 777000, actuated: 790000
[176]: sampled: 30000, processed: 966000, actuated: 979000
[177]: sampled: 22000, processed: 1056000, actuated: 1069000
[178]: sampled: 21000, processed: 952000, actuated: 965000
[179]: sampled: 21000, processed: 1009000, actuated: 1022000
[180]: sampled: 21000, processed: 1091000, actuated: 1104000
[181]: sampled: 21000, processed: 1132000, actuated: 1145000
[182]: sampled: 22000, processed: 860000, actuated: 873000
[183]: sampled: 22000, processed: 855000, actuated: 868000
[184]: sampled: 21000, processed: 1095000, actuated: 1108000
[185]: sampled: 22000, processed: 1109000, actuated: 1122000
[186]: sampled: 27000, processed: 889000, actuated: 902000
[187]: sampled: 22000, processed: 1014000, actuated: 1027000
[188]: sampled: 20000, processed: 1025000, actuated: 1038000
[189]: sampled: 21000, processed: 1054000, actuated: 1067000
[190]: sampled: 22000, processed: 850000, actuated: 863000
[191]: sampled: 22000, processed: 1113000, actuated: 1126000
[192]: sampled: 21000, processed: 1006000, actuated: 1019000
[193]: sampled: 21000, processed: 1024000, actuated: 1037000
[194]: sampled: 21000, processed: 1134000, actuated: 1147000
[195]: sampled: 21000, processed: 968000, actuated: 981000
[196]: sampled: 22000, processed: 1060000, actuated: 1073000
[197]: sampled: 22000, processed: 1004000, actuated: 1017000
[198]: sampled: 27000, processed: 1127000, actuated: 1140000
[199]: sampled: 22000, processed: 1062000, actuated: 1075000
[200]: sampled: 22000, processed: 1221000, actuated: 1234000
[201]: sampled: 20000, processed: 1120000, actuated: 1133000
[202]: sampled: 22000, processed: 1116000, actuated: 1129000
[203]: sampled: 21000, processed: 989000, actuated: 1002000
[204]: sampled: 21000, processed: 1050000, actuated: 1063000
[205]: sampled: 20000, processed: 880000, actuated: 893000
[206]: sampled: 22000, processed: 1086000, actuated: 1099000
[207]: sampled: 21000, processed: 1284000, actuated: 1297000
[208]: sampled: 22000, processed: 1022000, actuated: 1035000
[209]: sampled: 21000, processed: 1209000, actuated: 1222000
[210]: sampled: 29000, processed: 980000, actuated: 993000
[211]: sampled: 23000, processed: 1018000, actuated: 1031000
[212]: sampled: 21000, processed: 1135000, actuated: 1148000
[213]: sampled: 22000, processed: 1056000, actuated: 1069000
[214]: sampled: 21000, processed: 1070000, actuated: 1083000
[215]: sampled: 22000, processed: 1034000, actuated: 1047000
[216]: sampled: 22000, processed: 1065000, actuated: 1078000
[217]: sampled: 22000, processed: 955000, actuated: 968000
[218]: sampled: 21000, processed: 872000, actuated: 885000
[219]: sampled: 20000, processed: 891000, actuated: 904000
[220]: sampled: 22000, processed: 955000, actuated: 968000
[221]: sampled: 22000, processed: 975000, actuated: 988000
[222]: sampled: 30000, processed: 1181000, actuated: 1194000
[223]: sampled: 22000, processed: 1051000, actuated: 1064000
[224]: sampled: 21000, processed: 1061000, actuated: 1074000
[225]: sampled: 22000, processed: 985000, actuated: 998000
[226]: sampled: 22000, processed: 1209000, actuated: 1222000
[227]: sampled: 22000, processed: 1151000, actuated: 1164000
[228]: sampled: 21000, processed: 1051000, actuated: 1064000
[229]: sampled: 22000, processed: 1184000, actuated: 1197000
[230]: sampled: 21000, processed: 941000, actuated: 954000
[231]: sampled: 22000, processed: 1124000, actuated: 1137000
[232]: sampled: 21000, processed: 1022000, actuated: 1035000
[233]: sampled: 22000, processed: 953000, actuated: 966000
[234]: sampled: 22000, processed: 1061000, actuated: 1074000
[235]: sampled: 27000, processed: 957000, actuated: 970000
[236]: sampled: 22000, processed: 1052000, actuated: 1065000
[237]: sampled: 22000, processed: 860000, actuated: 873000
[238]: sampled: 22000, processed: 1199000, actuated: 1212000
[239]: sampled: 21000, processed: 1084000, actuated: 1097000
[240]: sampled: 22000, processed: 1019000, actuated: 1032000
[241]: sampled: 22000, processed: 1156000, actuated: 1169000
[242]: sampled: 21000, processed: 1115000, actuated: 1128000
[243]: sampled: 22000, processed: 959000, actuated: 972000
[244]: sampled: 20000, processed: 1101000, actuated: 1114000
[245]: sampled: 22000, processed: 1031000, actuated: 1044000
[246]: sampled: 22000, processed: 947000, actuated: 960000
[247]: sampled: 29000, processed: 900000, actuated: 913000
[248]: sampled: 24000, processed: 1003000, actuated: 1016000
[249]: sampled: 21000, processed: 1009000, actuated: 1022000
[250]: sampled: 22000, processed: 962000, actuated: 975000
[251]: sampled: 22000, processed: 1106000, actuated: 1119000
[252]: sampled: 22000, processed: 1013000, actuated: 1026000
[253]: sampled: 22000, processed: 1220000, actuated: 1233000
[254]: sampled: 21000, processed: 955000, actuated: 968000
[255]: sampled: 20000, processed: 1032000, actuated: 1045000
[256]: sampled: 22000, processed: 1139000, actuated: 1152000
[257]: sampled: 21000, processed: 1198000, actuated: 1211000
[258]: sampled: 20000, processed: 1008000, actuated: 1021000
[259]: sampled: 22000, processed: 981000, actuated: 994000
[260]: sampled: 28000, processed: 998000, actuated: 1011000
[261]: sampled: 21000, processed: 1144000, actuated: 1157000
[262]: sampled: 22000, processed: 953000, actuated: 966000
[263]: sampled: 21000, processed: 1072000, actuated: 1085000
[264]: sampled: 22000, processed: 962000, actuated: 975000
[265]: sampled: 21000, processed: 1215000, actuated: 1228000
[266]: sampled: 22000, processed: 1226000, actuated: 1239000
[267]: sampled: 21000, processed: 933000, actuated: 946000
[268]: sampled: 21000, processed: 1037000, actuated: 1050000
[269]: sampled: 31000, processed: 1082000, actuated: 1095000
[270]: sampled: 22000, processed: 1007000, actuated: 1020000
[271]: sampled: 22000, processed: 979000, actuated: 992000
[272]: sampled: 20000, processed: 1135000, actuated: 1148000
[273]: sampled: 22000, processed: 1070000, actuated: 1083000
[274]: sampled: 21000, processed: 941000, actuated: 954000
[275]: sampled: 22000, processed: 902000, actuated: 915000
[276]: sampled: 21000, processed: 1130000, actuated: 1143000
[277]: sampled: 22000, processed: 1062000, actuated: 1075000
[278]: sampled: 22000, processed: 1016000, actuated: 1029000
[279]: sampled: 21000, processed: 970000, actuated: 983000
[280]: sampled: 22000, processed: 1260000, actuated: 1273000
[281]: sampled: 22000, processed: 958000, actuated: 971000
[282]: sampled: 27000, processed: 1127000, actuated: 1140000
[283]: sampled: 22000, processed: 967000, actuated: 980000
[284]: sampled: 22000, processed: 983000, actuated: 996000
[285]: sampled: 22000, processed: 1120000, actuated: 1133000
[286]: sampled: 20000, processed: 956000, actuated: 969000
[287]: sampled: 21000, processed: 1039000, actuated: 1052000
[288]: sampled: 22000, processed: 966000, actuated: 979000
[289]: sampled: 22000, processed: 841000, actuated: 854000
[290]: sampled: 21000, processed: 1139000, actuated: 1152000
[291]: sampled: 21000, processed: 998000, actuated: 1011000
[292]: sampled: 21000, processed: 953000, actuated: 966000
[293]: sampled: 29000, processed: 1118000, actuated: 1131000
[294]: sampled: 24000, processed: 1221000, actuated: 1234000
[295]: sampled: 23000, processed: 949000, actuated: 962000
[296]: sampled: 22000, processed: 969000, actuated: 982000
[297]: sampled: 22000, processed: 1019000, actuated: 1032000
[298]: sampled: 22000, processed: 1055000, actuated: 1068000
[299]: sampled: 21000, processed: 1100000, actuated: 1113000
[300]: sampled: 22000, processed: 1001000, actuated: 1014000
[301]: sampled: 22000, processed: 992000, actuated: 1005000
[302]: sampled: 22000, processed: 925000, actuated: 938000
[303]: sampled: 22000, processed: 1221000, actuated: 1234000
[304]: sampled: 22000, processed: 1104000, actuated: 1117000
[305]: sampled: 28000, processed: 1129000, actuated: 1142000
[306]: sampled: 21000, processed: 1204000, actuated: 1217000
[307]: sampled: 20000, processed: 962000, actuated: 975000
[308]: sampled: 22000, processed: 1035000, actuated: 1048000
[309]: sampled: 21000, processed: 1146000, actuated: 1159000
[310]: sampled: 22000, processed: 1225000, actuated: 1238000
[311]: sampled: 21000, processed: 939000, actuated: 952000
[312]: sampled: 22000, processed: 1009000, actuated: 1022000
[313]: sampled: 21000, processed: 1083000, actuated: 1096000
[314]: sampled: 22000, processed: 1047000, actuated: 1060000
[315]: sampled: 22000, processed: 953000, actuated: 966000
[316]: sampled: 28000, processed: 947000, actuated: 960000
[317]: sampled: 24000, processed: 1015000, actuated: 1028000
[318]: sampled: 23000, processed: 1132000, actuated: 1145000
[319]: sampled: 21000, processed: 1060000, actuated: 1073000
[320]: sampled: 22000, processed: 971000, actuated: 984000
[321]: sampled: 22000, processed: 1024000, actuated: 1037000
[322]: sampled: 22000, processed: 857000, actuated: 870000
[323]: sampled: 22000, processed: 1300000, actuated: 1313000
[324]: sampled: 20000, processed: 1154000, actuated: 1167000
[325]: sampled: 22000, processed: 1244000, actuated: 1257000
[326]: sampled: 27000, processed: 907000, actuated: 920000
[327]: sampled: 23000, processed: 1061000, actuated: 1074000
[328]: sampled: 24000, processed: 1069000, actuated: 1082000
[329]: sampled: 21000, processed: 939000, actuated: 952000
[330]: sampled: 21000, processed: 975000, actuated: 988000
[331]: sampled: 20000, processed: 1051000, actuated: 1064000
[332]: sampled: 21000, processed: 1115000, actuated: 1128000
[333]: sampled: 21000, processed: 1077000, actuated: 1090000
[334]: sampled: 21000, processed: 1034000, actuated: 1047000
[335]: sampled: 22000, processed: 890000, actuated: 903000
[336]: sampled: 27000, processed: 975000, actuated: 988000
[337]: sampled: 22000, processed: 875000, actuated: 888000
[338]: sampled: 22000, processed: 911000, actuated: 924000
[339]: sampled: 22000, processed: 1051000, actuated: 1064000
[340]: sampled: 22000, processed: 1070000, actuated: 1083000
[341]: sampled: 22000, processed: 1073000, actuated: 1086000
[342]: sampled: 22000, processed: 1079000, actuated: 1092000
[343]: sampled: 21000, processed: 1105000, actuated: 1118000
[344]: sampled: 20000, processed: 1229000, actuated: 1242000
[345]: sampled: 21000, processed: 1012000, actuated: 1025000
[346]: sampled: 21000, processed: 1148000, actuated: 1161000
[347]: sampled: 26000, processed: 1045000, actuated: 1058000
[348]: sampled: 26000, processed: 1088000, actuated: 1101000
[349]: sampled: 22000, processed: 990000, actuated: 1003000
[350]: sampled: 22000, processed: 1029000, actuated: 1042000
[351]: sampled: 21000, processed: 1012000, actuated: 1025000
[352]: sampled: 21000, processed: 904000, actuated: 917000
[353]: sampled: 21000, processed: 942000, actuated: 955000
[354]: sampled: 21000, processed: 955000, actuated: 968000
[355]: sampled: 22000, processed: 1082000, actuated: 1095000
[356]: sampled: 26000, processed: 1151000, actuated: 1164000
[357]: sampled: 22000, processed: 1098000, actuated: 1111000
[358]: sampled: 22000, processed: 1036000, actuated: 1049000
[359]: sampled: 21000, processed: 889000, actuated: 902000
[360]: sampled: 22000, processed: 1075000, actuated: 1088000
[361]: sampled: 22000, processed: 1205000, actuated: 1218000
[362]: sampled: 21000, processed: 991000, actuated: 1004000
[363]: sampled: 22000, processed: 1009000, actuated: 1022000
[364]: sampled: 21000, processed: 1097000, actuated: 1110000
[365]: sampled: 28000, processed: 1068000, actuated: 1081000
[366]: sampled: 25000, processed: 1033000, actuated: 1046000
[367]: sampled: 22000, processed: 1026000, actuated: 1039000
[368]: sampled: 22000, processed: 1146000, actuated: 1159000
[369]: sampled: 21000, processed: 971000, actuated: 984000
[370]: sampled: 22000, processed: 1105000, actuated: 1118000
[371]: sampled: 21000, processed: 920000, actuated: 933000
[372]: sampled: 21000, processed: 1089000, actuated: 1102000
[373]: sampled: 21000, processed: 904000, actuated: 917000
[374]: sampled: 20000, processed: 1000000, actuated: 1013000
[375]: sampled: 20000, processed: 926000, actuated: 939000
[376]: sampled: 22000, processed: 1032000, actuated: 1045000
[377]: sampled: 27000, processed: 1085000, actuated: 1098000
[378]: sampled: 22000, processed: 1160000, actuated: 1173000
