Sum: 49995000









main shutdown
[112]: sampled: 20000, processed: 920000, actuated: 933000
[113]: sampled: 22000, processed: 1094000, actuated: 1107000
[114]: sampled: 20000, processed: 957000, actuated: 970000
[115]: sampled: 22000, processed: 1028000, actuated: 1041000
[116]: sampled: 22000, processed: 1095000, actuated: 1108000
[117]: sampled: 21000, processed: 878000, actuated: 891000
[118]: sampled: 24000, processed: 1000000, actuated: 1013000
[119]: sampled: 24000, processed: 1015000, actuated: 1028000
[120]: sampled: 20000, processed: 1118000, actuated: 1131000
[121]: sampled: 21000, processed: 950000, actuated: 963000
[122]: sampled: 21000, processed: 952000, actuated: 965000
[123]: sampled: 21000, processed: 1042000, actuated: 1055000
[124]: sampled: 22000, processed: 929000, actuated: 942000
[125]: sampled: 22000, processed: 1056000, actuated: 1069000
[126]: sampled: 22000, processed: 955000, actuated: 968000
[127]: sampled: 26000, processed: 1130000, actuated: 1143000
[128]: sampled: 22000, processed: 1002000, actuated: 1015000
[129]: sampled: 23000, processed: 981000, actuated: 994000
[130]: sampled: 22000, processed: 1020000, actuated: 1033000
[131]: sampled: 20000, processed: 1036000, actuated: 1049000
[132]: sampled: 21000, processed: 1194000, actuated: 1207000
[133]: sampled: 21000, processed: 921000, actuated: 934000
[134]: sampled: 21000, processed: 1197000, actuated: 1210000
[135]: sampled: 21000, processed: 986000, actuated: 999000
[136]: sampled: 27000, processed: 1007000, actuated: 1020000
[137]: sampled: 22000, processed: 1145000, actuated: 1158000
[138]: sampled: 22000, processed: 981000, actuated: 994000
[139]: sampled: 21000, processed: 1039000, actuated: 1052000
[140]: sampled: 21000, processed: 1213000, actuated: 1226000
[141]: sampled: 22000, processed: 1084000, actuated: 1097000
[142]: sampled: 22000, processed: 1099000, actuated: 1112000
[143]: sampled: 22000, processed: 1017000, actuated: 1030000
[144]: sampled: 22000, processed: 906000, actuated: 919000
[145]: sampled: 22000, processed: 1047000, actuated: 1060000
[146]: sampled: 21000, processed: 1150000, actuated: 1163000
[147]: sampled: 28000, processed: 927000, actuated: 940000
[148]: sampled: 22000, processed: 950000, actuated: 963000
[149]: sampled: 22000, processed: 852000, actuated: 865000
[150]: sampled: 20000, processed: 1038000, actuated: 1051000
[151]: sampled: 21000, processed: 1014000, actuated: 1027000
[152]: sampled: 21000, processed: 1126000, actuated: 1139000
[153]: sampled: 22000, processed: 952000, actuated: 965000
[154]: sampled: 21000, processed: 990000, actuated: 1003000
[155]: sampled: 22000, processed: 1016000, actuated: 1029000
[156]: sampled: 20000, processed: 935000, actuated: 948000
[157]: sampled: 20000, processed: 936000, actuated: 949000
[158]: sampled: 30000, processed: 1008000, actuated: 1021000
[159]: sampled: 24000, processed: 893000, actuated: 906000
[160]: sampled: 22000, processed: 1108000, actuated: 1121000
[161]: sampled: 22000, processed: 1109000, actuated: 1122000
[162]: sampled: 21000, processed: 1100000, actuated: 1113000
[163]: sampled: 22000, processed: 965000, actuated: 978000
[164]: sampled: 21000, processed: 1010000, actuated: 1023000
[165]: sampled: 21000, processed: 1015000, actuated: 1028000
[166]: sampled: 21000, processed: 886000, actuated: 899000
[167]: sampled: 22000, processed: 1079000, actuated: 1092000
[168]: sampled: 21000, processed: 1157000, actuated: 1170000
[169]: sampled: 22000, processed: 1088000, actuated: 1101000
[170]: sampled: 29000, processed: 1094000, actuated: 1107000
[171]: sampled: 23000, processed: 1098000, actuated: 1111000
[172]: sampled: 22000, processed: 1163000, actuated: 1176000
[173]: sampled: 21000, processed: 1100000, actuated: 1113000
[174]: sampled: 22000, processed: 981000, actuated: 994000
[175]: sampled: 21000, processed: 777000, actuated: 790000
[176]: sampled: 21000, processed: 956000, actuated: 969000
[177]: sampled: 22000, processed: 1056000, actuated: 1069000
[178]: sampled: 22000, processed: 952000, actuated: 965000
[179]: sampled: 21000, processed: 1009000, actuated: 1022000
[180]: sampled: 21000, processed: 1091000, actuated: 1104000
[181]: sampled: 22000, processed: 1133000, actuated: 1146000
[182]: sampled: 22000, processed: 859000, actuated: 872000
[183]: sampled: 27000, processed: 859000, actuated: 872000
[184]: sampled: 23000, processed: 1097000, actuated: 1110000
[185]: sampled: 21000, processed: 1109000, actuated: 1122000
[186]: sampled: 22000, processed: 881000, actuated: 894000
[187]: sampled: 22000, processed: 1014000, actuated: 1027000
[188]: sampled: 22000, processed: 1027000, actuated: 1040000
[189]: sampled: 22000, processed: 1055000, actuated: 1068000
[190]: sampled: 22000, processed: 851000, actuated: 864000
[191]: sampled: 21000, processed: 1111000, actuated: 1124000
[192]: sampled: 22000, processed: 1007000, actuated: 1020000
[193]: sampled: 22000, processed: 1025000, actuated: 1038000
[194]: sampled: 386000, processed: 1501000, actuated: 1514000
[195]: sampled: 23000, processed: 971000, actuated: 984000
[196]: sampled: 22000, processed: 1061000, actuated: 1074000
[197]: sampled: 21000, processed: 1003000, actuated: 1016000
[198]: sampled: 22000, processed: 1121000, actuated: 1134000
[199]: sampled: 22000, processed: 1060000, actuated: 1073000
[200]: sampled: 21000, processed: 1220000, actuated: 1233000
[201]: sampled: 21000, processed: 1121000, actuated: 1134000
[202]: sampled: 22000, processed: 1116000, actuated: 1129000
[203]: sampled: 22000, processed: 989000, actuated: 1002000
[204]: sampled: 28000, processed: 1059000, actuated: 1072000
[205]: sampled: 22000, processed: 883000, actuated: 896000
[206]: sampled: 21000, processed: 1085000, actuated: 1098000
[207]: sampled: 22000, processed: 1284000, actuated: 1297000
[208]: sampled: 20000, processed: 1021000, actuated: 1034000
[209]: sampled: 22000, processed: 1210000, actuated: 1223000
[210]: sampled: 21000, processed: 970000, actuated: 983000
[211]: sampled: 21000, processed: 1016000, actuated: 1029000
[212]: sampled: 21000, processed: 1135000, actuated: 1148000
[213]: sampled: 22000, processed: 1056000, actuated: 1069000
[214]: sampled: 21000, processed: 1070000, actuated: 1083000
[215]: sampled: 21000, processed: 1034000, actuated: 1047000
[216]: sampled: 22000, processed: 1066000, actuated: 1079000
[217]: sampled: 30000, processed: 965000, actuated: 978000
[218]: sampled: 24000, processed: 874000, actuated: 887000
[219]: sampled: 22000, processed: 893000, actuated: 906000
[220]: sampled: 21000, processed: 954000, actuated: 967000
[221]: sampled: 22000, processed: 975000, actuated: 988000
[222]: sampled: 22000, processed: 1171000, actuated: 1184000
[223]: sampled: 22000, processed: 1049000, actuated: 1062000
[224]: sampled: 22000, processed: 1061000, actuated: 1074000
[225]: sampled: 21000, processed: 985000, actuated: 998000
[226]: sampled: 21000, processed: 1208000, actuated: 1221000
[227]: sampled: 22000, processed: 1151000, actuated: 1164000
[228]: sampled: 22000, processed: 1051000, actuated: 1064000
[229]: sampled: 26000, processed: 1192000, actuated: 1205000
[230]: sampled: 23000, processed: 944000, actuated: 957000
[231]: sampled: 21000, processed: 1123000, actuated: 1136000
[232]: sampled: 21000, processed: 1022000, actuated: 1035000
[233]: sampled: 22000, processed: 953000, actuated: 966000
[234]: sampled: 22000, processed: 1061000, actuated: 1074000
[235]: sampled: 21000, processed: 949000, actuated: 962000
[236]: sampled: 21000, processed: 1051000, actuated: 1064000
[237]: sampled: 22000, processed: 860000, actuated: 873000
[238]: sampled: 21000, processed: 1198000, actuated: 1211000
[239]: sampled: 27000, processed: 1091000, actuated: 1104000
[240]: sampled: 22000, processed: 1020000, actuated: 1033000
[241]: sampled: 21000, processed: 1156000, actuated: 1169000
[242]: sampled: 21000, processed: 1115000, actuated: 1128000
[243]: sampled: 21000, processed: 958000, actuated: 971000
[244]: sampled: 22000, processed: 1103000, actuated: 1116000
[245]: sampled: 21000, processed: 1031000, actuated: 1044000
[246]: sampled: 21000, processed: 946000, actuated: 959000
[247]: sampled: 21000, processed: 890000, actuated: 903000
[248]: sampled: 21000, processed: 999000, actuated: 1012000
[249]: sampled: 22000, processed: 1010000, actuated: 1023000
[250]: sampled: 21000, processed: 961000, actuated: 974000
[251]: sampled: 22000, processed: 1444000, actuated: 1458000
[252]: sampled: 25000, processed: 1019000, actuated: 1032000
[253]: sampled: 22000, processed: 1222000, actuated: 1235000
[254]: sampled: 22000, processed: 957000, actuated: 970000
[255]: sampled: 22000, processed: 1033000, actuated: 1046000
[256]: sampled: 21000, processed: 1139000, actuated: 1152000
[257]: sampled: 22000, processed: 1200000, actuated: 1213000
[258]: sampled: 22000, processed: 1010000, actuated: 1023000
[259]: sampled: 21000, processed: 979000, actuated: 992000
[260]: sampled: 21000, processed: 989000, actuated: 1002000
[261]: sampled: 22000, processed: 1143000, actuated: 1156000
[262]: sampled: 22000, processed: 952000, actuated: 965000
[263]: sampled: 22000, processed: 1074000, actuated: 1087000
[264]: sampled: 27000, processed: 969000, actuated: 982000
[265]: sampled: 22000, processed: 1216000, actuated: 1229000
[266]: sampled: 21000, processed: 1226000, actuated: 1239000
[267]: sampled: 22000, processed: 935000, actuated: 948000
[268]: sampled: 22000, processed: 1037000, actuated: 1050000
[269]: sampled: 22000, processed: 1072000, actuated: 1085000
[270]: sampled: 20000, processed: 1005000, actuated: 1018000
[271]: sampled: 21000, processed: 979000, actuated: 992000
[272]: sampled: 20000, processed: 1135000, actuated: 1148000
[273]: sampled: 22000, processed: 1071000, actuated: 1084000
[274]: sampled: 22000, processed: 942000, actuated: 955000
[275]: sampled: 25000, processed: 907000, actuated: 920000
[276]: sampled: 22000, processed: 1131000, actuated: 1144000
[277]: sampled: 22000, processed: 1062000, actuated: 1075000
[278]: sampled: 22000, processed: 1016000, actuated: 1029000
[279]: sampled: 21000, processed: 970000, actuated: 983000
[280]: sampled: 22000, processed: 1260000, actuated: 1273000
[281]: sampled: 22000, processed: 958000, actuated: 971000
[282]: sampled: 22000, processed: 1121000, actuated: 1134000
[283]: sampled: 20000, processed: 965000, actuated: 978000
[284]: sampled: 21000, processed: 981000, actuated: 994000
[285]: sampled: 21000, processed: 1120000, actuated: 1133000
[286]: sampled: 22000, processed: 957000, actuated: 970000
[287]: sampled: 26000, processed: 1046000, actuated: 1059000
[288]: sampled: 23000, processed: 967000, actuated: 980000
[289]: sampled: 22000, processed: 842000, actuated: 855000
[290]: sampled: 20000, processed: 1138000, actuated: 1151000
[291]: sampled: 22000, processed: 998000, actuated: 1011000
[292]: sampled: 21000, processed: 953000, actuated: 966000
[293]: sampled: 22000, processed: 1109000, actuated: 1122000
[294]: sampled: 22000, processed: 1219000, actuated: 1232000
[295]: sampled: 22000, processed: 948000, actuated: 961000
[296]: sampled: 22000, processed: 967000, actuated: 980000
[297]: sampled: 30000, processed: 1028000, actuated: 1041000
[298]: sampled: 22000, processed: 1056000, actuated: 1069000
[299]: sampled: 22000, processed: 1101000, actuated: 1114000
[300]: sampled: 22000, processed: 1001000, actuated: 1014000
[301]: sampled: 21000, processed: 992000, actuated: 1005000
[302]: sampled: 21000, processed: 925000, actuated: 938000
[303]: sampled: 22000, processed: 1221000, actuated: 1234000
[304]: sampled: 22000, processed: 1105000, actuated: 1118000
[305]: sampled: 22000, processed: 1121000, actuated: 1134000
[306]: sampled: 29000, processed: 1213000, actuated: 1226000
[307]: sampled: 22000, processed: 966000, actuated: 979000
[308]: sampled: 22000, processed: 1036000, actuated: 1049000
[309]: sampled: 21000, processed: 1146000, actuated: 1159000
[310]: sampled: 20000, processed: 1224000, actuated: 1237000
[311]: sampled: 22000, processed: 939000, actuated: 952000
[312]: sampled: 22000, processed: 1009000, actuated: 1022000
[313]: sampled: 20000, processed: 1082000, actuated: 1095000
[314]: sampled: 22000, processed: 1047000, actuated: 1060000
[315]: sampled: 22000, processed: 952000, actuated: 965000
[316]: sampled: 22000, processed: 940000, actuated: 953000
[317]: sampled: 22000, processed: 1010000, actuated: 1023000
[318]: sampled: 29000, processed: 1140000, actuated: 1153000
[319]: sampled: 21000, processed: 1060000, actuated: 1073000
[320]: sampled: 22000, processed: 970000, actuated: 983000
[321]: sampled: 22000, processed: 1025000, actuated: 1038000
[322]: sampled: 21000, processed: 857000, actuated: 870000
[323]: sampled: 22000, processed: 1299000, actuated: 1312000
[324]: sampled: 21000, processed: 1155000, actuated: 1168000
[325]: sampled: 21000, processed: 1242000, actuated: 1255000
[326]: sampled: 22000, processed: 901000, actuated: 914000
[327]: sampled: 21000, processed: 1059000, actuated: 1072000
[328]: sampled: 22000, processed: 1068000, actuated: 1081000
[329]: sampled: 21000, processed: 939000, actuated: 952000
[330]: sampled: 28000, processed: 984000, actuated: 997000
[331]: sampled: 24000, processed: 1055000, actuated: 1068000
[332]: sampled: 21000, processed: 1115000, actuated: 1128000
[333]: sampled: 22000, processed: 1078000, actuated: 1091000
[334]: sampled: 21000, processed: 1034000, actuated: 1047000
[335]: sampled: 20000, processed: 889000, actuated: 902000
[336]: sampled: 20000, processed: 967000, actuated: 980000
[337]: sampled: 22000, processed: 875000, actuated: 888000
[338]: sampled: 22000, processed: 911000, actuated: 924000
[339]: sampled: 20000, processed: 1049000, actuated: 1062000
[340]: sampled: 22000, processed: 1070000, actuated: 1083000
[341]: sampled: 26000, processed: 1080000, actuated: 1093000
[342]: sampled: 22000, processed: 1080000, actuated: 1093000
[343]: sampled: 23000, processed: 1108000, actuated: 1121000
[344]: sampled: 22000, processed: 1232000, actuated: 1245000
[345]: sampled: 22000, processed: 1014000, actuated: 1027000
[346]: sampled: 22000, processed: 1149000, actuated: 1162000
[347]: sampled: 22000, processed: 1039000, actuated: 1052000
[348]: sampled: 22000, processed: 1084000, actuated: 1097000
[349]: sampled: 22000, processed: 991000, actuated: 1004000
[350]: sampled: 22000, processed: 1028000, actuated: 1041000
[351]: sampled: 22000, processed: 1013000, actuated: 1026000
[352]: sampled: 30000, processed: 915000, actuated: 928000
[353]: sampled: 22000, processed: 944000, actuated: 957000
[354]: sampled: 22000, processed: 956000, actuated: 969000
[355]: sampled: 22000, processed: 1082000, actuated: 1095000
[356]: sampled: 22000, processed: 1145000, actuated: 1158000
[357]: sampled: 22000, processed: 1096000, actuated: 1109000
[358]: sampled: 21000, processed: 1035000, actuated: 1048000
[359]: sampled: 21000, processed: 889000, actuated: 902000
[360]: sampled: 22000, processed: 1076000, actuated: 1089000
[361]: sampled: 22000, processed: 1205000, actuated: 1218000
[362]: sampled: 22000, processed: 991000, actuated: 1004000
[363]: sampled: 22000, processed: 1009000, actuated: 1022000
[364]: sampled: 27000, processed: 1105000, actuated: 1118000
[365]: sampled: 24000, processed: 1062000, actuated: 1075000
[366]: sampled: 21000, processed: 1029000, actuated: 1042000
[367]: sampled: 21000, processed: 1026000, actuated: 1039000
[368]: sampled: 20000, processed: 1144000, actuated: 1157000
[369]: sampled: 21000, processed: 971000, actuated: 984000
[370]: sampled: 20000, processed: 1102000, actuated: 1115000
[371]: sampled: 22000, processed: 920000, actuated: 933000
[372]: sampled: 21000, processed: 1089000, actuated: 1102000
[373]: sampled: 22000, processed: 905000, actuated: 918000
[374]: sampled: 21000, processed: 1001000, actuated: 1014000
[375]: sampled: 22000, processed: 928000, actuated: 941000
[376]: sampled: 30000, processed: 1042000, actuated: 1055000
[377]: sampled: 20000, processed: 1078000, actuated: 1091000
[378]: sampled: 22000, processed: 1158000, actuated: 1171000
[379]: sampled: 21000, processed: 1069000, actuated: 1082000
[380]: sampled: 22000, processed: 1078000, actuated: 1091000
[381]: sampled: 21000, processed: 1104000, actuated: 1117000
[382]: sampled: 21000, processed: 974000, actuated: 987000
[383]: sampled: 22000, processed: 1104000, actuated: 1117000
[384]: sampled: 22000, processed: 1194000, actuated: 1207000
[385]: sampled: 22000, processed: 1409000, actuated: 1423000
[386]: sampled: 25000, processed: 972000, actuated: 985000
[387]: sampled: 22000, processed: 1157000, actuated: 1170000
[388]: sampled: 20000, processed: 978000, actuated: 991000
[389]: sampled: 22000, processed: 1023000, actuated: 1036000
[390]: sampled: 22000, processed: 951000, actuated: 964000
[391]: sampled: 21000, processed: 1158000, actuated: 1171000
[392]: sampled: 20000, processed: 1075000, actuated: 1088000
[393]: sampled: 21000, processed: 886000, actuated: 899000
[394]: sampled: 22000, processed: 927000, actuated: 940000
[395]: sampled: 25000, processed: 1030000, actuated: 1043000
[396]: sampled: 22000, processed: 1024000, actuated: 1037000
[397]: sampled: 21000, processed: 1106000, actuated: 1119000
[398]: sampled: 22000, processed: 1076000, actuated: 1089000
[399]: sampled: 22000, processed: 1111000, actuated: 1124000
[400]: sampled: 21000, processed: 981000, actuated: 994000
