sum: 49995000



Stop after 1000 iterations
main shutdown
logger shutdown
[109]: sampled: 174000, processed: 1415000, actuated: 1455000
[110]: sampled: 191000, processed: 1525000, actuated: 1565000
[111]: sampled: 178000, processed: 1574000, actuated: 1614000
[112]: sampled: 199000, processed: 1441000, actuated: 1481000
[113]: sampled: 187000, processed: 1551000, actuated: 1591000
[114]: sampled: 175000, processed: 1447000, actuated: 1487000
[115]: sampled: 192000, processed: 1526000, actuated: 1566000
[116]: sampled: 181000, processed: 1576000, actuated: 1617000
[117]: sampled: 202000, processed: 1352000, actuated: 1392000
[118]: sampled: 194000, processed: 1466000, actuated: 1507000
[119]: sampled: 185000, processed: 1489000, actuated: 1529000
[120]: sampled: 176000, processed: 1572000, actuated: 1612000
[121]: sampled: 199000, processed: 1441000, actuated: 1481000
[122]: sampled: 190000, processed: 1431000, actuated: 1471000
[123]: sampled: 175000, processed: 1508000, actuated: 1549000
[124]: sampled: 192000, processed: 1402000, actuated: 1443000
[125]: sampled: 175000, processed: 1538000, actuated: 1579000
[126]: sampled: 189000, processed: 1429000, actuated: 1470000
[127]: sampled: 173000, processed: 2033000, actuated: 2073000
[128]: sampled: 188000, processed: 1460000, actuated: 1501000
[129]: sampled: 174000, processed: 1446000, actuated: 1486000
[130]: sampled: 190000, processed: 1523000, actuated: 1563000
[131]: sampled: 175000, processed: 1477000, actuated: 1518000
[132]: sampled: 190000, processed: 1706000, actuated: 1746000
[133]: sampled: 170000, processed: 1411000, actuated: 1451000
[134]: sampled: 182000, processed: 1668000, actuated: 1708000
[135]: sampled: 193000, processed: 1464000, actuated: 1504000
[136]: sampled: 170000, processed: 1442000, actuated: 1482000
[137]: sampled: 185000, processed: 1640000, actuated: 1680000
[138]: sampled: 1070000, processed: 2355000, actuated: 2396000
[139]: sampled: 180000, processed: 1513000, actuated: 1553000
[140]: sampled: 195000, processed: 1681000, actuated: 1721000
[141]: sampled: 178000, processed: 1541000, actuated: 1581000
[142]: sampled: 191000, processed: 1585000, actuated: 1625000
[143]: sampled: 172000, processed: 1505000, actuated: 1546000
[144]: sampled: 187000, processed: 1366000, actuated: 1407000
[145]: sampled: 199000, processed: 1531000, actuated: 1572000
[146]: sampled: 183000, processed: 1608000, actuated: 1648000
[147]: sampled: 202000, processed: 1411000, actuated: 1452000
[148]: sampled: 156000, processed: 1397000, actuated: 1438000
[149]: sampled: 171000, processed: 1290000, actuated: 1330000
[150]: sampled: 185000, processed: 1518000, actuated: 1558000
[151]: sampled: 198000, processed: 1501000, actuated: 1541000
[152]: sampled: 183000, processed: 1577000, actuated: 1617000
[153]: sampled: 196000, processed: 1437000, actuated: 1477000
[154]: sampled: 182000, processed: 1485000, actuated: 1525000
[155]: sampled: 199000, processed: 1502000, actuated: 1542000
[156]: sampled: 185000, processed: 1396000, actuated: 1436000
[157]: sampled: 203000, processed: 1414000, actuated: 1454000
[158]: sampled: 190000, processed: 1462000, actuated: 1502000
[159]: sampled: 176000, processed: 1385000, actuated: 1425000
[160]: sampled: 186000, processed: 1611000, actuated: 1651000
[161]: sampled: 170000, processed: 1565000, actuated: 1605000
[162]: sampled: 185000, processed: 1610000, actuated: 1650000
[163]: sampled: 200000, processed: 1441000, actuated: 1481000
[164]: sampled: 182000, processed: 1484000, actuated: 1524000
[165]: sampled: 197000, processed: 1499000, actuated: 1539000
[166]: sampled: 178000, processed: 1358000, actuated: 1398000
[167]: sampled: 190000, processed: 1584000, actuated: 1625000
[168]: sampled: 173000, processed: 1628000, actuated: 1669000
[169]: sampled: 187000, processed: 1550000, actuated: 1591000
[170]: sampled: 170000, processed: 1533000, actuated: 1573000
[171]: sampled: 180000, processed: 1543000, actuated: 1583000
[172]: sampled: 194000, processed: 1649000, actuated: 1689000
[173]: sampled: 174000, processed: 1567000, actuated: 1607000
[174]: sampled: 182000, processed: 1453000, actuated: 1493000
[175]: sampled: 191000, processed: 1248000, actuated: 1289000
[176]: sampled: 170000, processed: 1411000, actuated: 1451000
[177]: sampled: 182000, processed: 1515000, actuated: 1555000
[178]: sampled: 193000, processed: 1465000, actuated: 1505000
[179]: sampled: 176000, processed: 1478000, actuated: 1519000
[180]: sampled: 842000, processed: 2223000, actuated: 2263000
[181]: sampled: 166000, processed: 1591000, actuated: 1631000
[182]: sampled: 180000, processed: 1359000, actuated: 1400000
[183]: sampled: 190000, processed: 1338000, actuated: 1379000
[184]: sampled: 172000, processed: 1536000, actuated: 1576000
[185]: sampled: 186000, processed: 1611000, actuated: 1651000
[186]: sampled: 168000, processed: 1347000, actuated: 1387000
[187]: sampled: 178000, processed: 1510000, actuated: 1550000
[188]: sampled: 186000, processed: 1518000, actuated: 1559000
[189]: sampled: 199000, processed: 1531000, actuated: 1572000
[190]: sampled: 181000, processed: 1329000, actuated: 1369000
[191]: sampled: 193000, processed: 1618000, actuated: 1658000
[192]: sampled: 178000, processed: 1450000, actuated: 1490000
[193]: sampled: 194000, processed: 1496000, actuated: 1536000
[194]: sampled: 180000, processed: 1636000, actuated: 1676000
[195]: sampled: 193000, processed: 1433000, actuated: 1474000
[196]: sampled: 179000, processed: 1543000, actuated: 1583000
[197]: sampled: 195000, processed: 1497000, actuated: 1538000
[198]: sampled: 181000, processed: 1576000, actuated: 1616000
[199]: sampled: 198000, processed: 1531000, actuated: 1571000
[200]: sampled: 185000, processed: 1701000, actuated: 1742000
[201]: sampled: 200000, processed: 1624000, actuated: 1664000
[202]: sampled: 183000, processed: 1608000, actuated: 1648000
[203]: sampled: 197000, processed: 1468000, actuated: 1509000
[204]: sampled: 183000, processed: 1546000, actuated: 1587000
[205]: sampled: 198000, processed: 1378000, actuated: 1418000
[206]: sampled: 182000, processed: 1546000, actuated: 1586000
[207]: sampled: 195000, processed: 1772000, actuated: 1813000
[208]: sampled: 177000, processed: 1480000, actuated: 1520000
[209]: sampled: 193000, processed: 1679000, actuated: 1719000
[210]: sampled: 178000, processed: 1451000, actuated: 1491000
[211]: sampled: 194000, processed: 1527000, actuated: 1567000
[212]: sampled: 180000, processed: 1606000, actuated: 1646000
[213]: sampled: 201000, processed: 1534000, actuated: 1575000
[214]: sampled: 184000, processed: 1578000, actuated: 1619000
[215]: sampled: 199000, processed: 1502000, actuated: 1542000
[216]: sampled: 183000, processed: 1547000, actuated: 1587000
[217]: sampled: 194000, processed: 1435000, actuated: 1475000
[218]: sampled: 177000, processed: 1327000, actuated: 1367000
[219]: sampled: 193000, processed: 1373000, actuated: 1413000
[220]: sampled: 174000, processed: 1415000, actuated: 1455000
[221]: sampled: 186000, processed: 1427000, actuated: 1467000
[222]: sampled: 199000, processed: 1655000, actuated: 1695000
[223]: sampled: 182000, processed: 1514000, actuated: 1554000
[224]: sampled: 197000, processed: 1560000, actuated: 1600000
[225]: sampled: 182000, processed: 1453000, actuated: 1494000
[226]: sampled: 196000, processed: 1682000, actuated: 1722000
[227]: sampled: 179000, processed: 1603000, actuated: 1643000
[228]: sampled: 191000, processed: 1523000, actuated: 1564000
[229]: sampled: 171000, processed: 1627000, actuated: 1667000
[230]: sampled: 183000, processed: 1423000, actuated: 1463000
[231]: sampled: 193000, processed: 1587000, actuated: 1627000
[232]: sampled: 173000, processed: 1506000, actuated: 1546000
[233]: sampled: 186000, processed: 1428000, actuated: 1468000
[234]: sampled: 1397000, processed: 2730000, actuated: 2771000
[235]: sampled: 188000, processed: 1430000, actuated: 1470000
[236]: sampled: 173000, processed: 1506000, actuated: 1546000
[237]: sampled: 187000, processed: 1366000, actuated: 1406000
[238]: sampled: 202000, processed: 1718000, actuated: 1758000
[239]: sampled: 186000, processed: 1550000, actuated: 1590000
[240]: sampled: 170000, processed: 1473000, actuated: 1513000
[241]: sampled: 188000, processed: 1613000, actuated: 1654000
[242]: sampled: 172000, processed: 1567000, actuated: 1607000
[243]: sampled: 188000, processed: 1831000, actuated: 1872000
[244]: sampled: 173000, processed: 1598000, actuated: 1638000
[245]: sampled: 190000, processed: 1493000, actuated: 1533000
[246]: sampled: 174000, processed: 1384000, actuated: 1424000
[247]: sampled: 188000, processed: 1398000, actuated: 1439000
[248]: sampled: 172000, processed: 1443000, actuated: 1483000
[249]: sampled: 183000, processed: 1485000, actuated: 1525000
[250]: sampled: 195000, processed: 1466000, actuated: 1506000
[251]: sampled: 178000, processed: 1602000, actuated: 1643000
[252]: sampled: 187000, processed: 1489000, actuated: 1529000
[253]: sampled: 166000, processed: 1651000, actuated: 1692000
[254]: sampled: 178000, processed: 1419000, actuated: 1460000
[255]: sampled: 192000, processed: 1524000, actuated: 1564000
[256]: sampled: 176000, processed: 1601000, actuated: 1641000
[257]: sampled: 187000, processed: 1672000, actuated: 1713000
[258]: sampled: 166000, processed: 1468000, actuated: 1508000
[259]: sampled: 178000, processed: 1449000, actuated: 1489000
[260]: sampled: 190000, processed: 1462000, actuated: 1503000
[261]: sampled: 174000, processed: 1599000, actuated: 1639000
[262]: sampled: 186000, processed: 1458000, actuated: 1498000
[263]: sampled: 171000, processed: 1534000, actuated: 1575000
[264]: sampled: 182000, processed: 1423000, actuated: 1464000
[265]: sampled: 195000, processed: 1681000, actuated: 1721000
[266]: sampled: 177000, processed: 1693000, actuated: 1733000
[267]: sampled: 190000, processed: 1432000, actuated: 1472000
[268]: sampled: 175000, processed: 1507000, actuated: 1548000
