sum: 49995000






Stop after 1000 iterations
main shutdown
logger shutdown
[109]: sampled: 200000, processed: 1439000, actuated: 1480000
[110]: sampled: 182000, processed: 1516000, actuated: 1556000
[111]: sampled: 197000, processed: 1591000, actuated: 1631000
[112]: sampled: 181000, processed: 1392000, actuated: 1432000
[113]: sampled: 195000, processed: 1558000, actuated: 1599000
[114]: sampled: 175000, processed: 1415000, actuated: 1455000
[115]: sampled: 182000, processed: 1483000, actuated: 1523000
[116]: sampled: 191000, processed: 1553000, actuated: 1593000
[117]: sampled: 166000, processed: 1345000, actuated: 1385000
[118]: sampled: 173000, processed: 1473000, actuated: 1514000
[119]: sampled: 180000, processed: 1482000, actuated: 1522000
[120]: sampled: 192000, processed: 1586000, actuated: 1626000
[121]: sampled: 170000, processed: 1409000, actuated: 1450000
[122]: sampled: 179000, processed: 1420000, actuated: 1460000
[123]: sampled: 188000, processed: 1551000, actuated: 1591000
[124]: sampled: 164000, processed: 1373000, actuated: 1413000
[125]: sampled: 171000, processed: 1503000, actuated: 1543000
[126]: sampled: 179000, processed: 1419000, actuated: 1459000
[127]: sampled: 187000, processed: 1581000, actuated: 1621000
[128]: sampled: 167000, processed: 1439000, actuated: 1479000
[129]: sampled: 178000, processed: 1450000, actuated: 1490000
[130]: sampled: 188000, processed: 1489000, actuated: 1529000
[131]: sampled: 164000, processed: 1495000, actuated: 1535000
[132]: sampled: 167000, processed: 1652000, actuated: 1692000
[133]: sampled: 174000, processed: 1384000, actuated: 1424000
[134]: sampled: 183000, processed: 1669000, actuated: 1709000
[135]: sampled: 194000, processed: 1496000, actuated: 1536000
[136]: sampled: 176000, processed: 1447000, actuated: 1487000
[137]: sampled: 190000, processed: 1615000, actuated: 1655000
[138]: sampled: 173000, processed: 1444000, actuated: 1484000
[139]: sampled: 184000, processed: 1516000, actuated: 1557000
[140]: sampled: 198000, processed: 1683000, actuated: 1723000
[141]: sampled: 180000, processed: 1573000, actuated: 1613000
[142]: sampled: 191000, processed: 1585000, actuated: 1625000
[143]: sampled: 173000, processed: 1475000, actuated: 1515000
[144]: sampled: 185000, processed: 1365000, actuated: 1405000
[145]: sampled: 197000, processed: 1530000, actuated: 1570000
[146]: sampled: 180000, processed: 1605000, actuated: 1645000
[147]: sampled: 192000, processed: 1401000, actuated: 1442000
[148]: sampled: 142000, processed: 1414000, actuated: 1454000
[149]: sampled: 184000, processed: 1302000, actuated: 1342000
[150]: sampled: 194000, processed: 1527000, actuated: 1567000
[151]: sampled: 175000, processed: 1475000, actuated: 1516000
[152]: sampled: 182000, processed: 1576000, actuated: 1616000
[153]: sampled: 196000, processed: 1436000, actuated: 1477000
[154]: sampled: 175000, processed: 1477000, actuated: 1517000
[155]: sampled: 188000, processed: 1489000, actuated: 1529000
[156]: sampled: 165000, processed: 1405000, actuated: 1445000
[157]: sampled: 175000, processed: 1384000, actuated: 1424000
[158]: sampled: 185000, processed: 1456000, actuated: 1496000
[159]: sampled: 192000, processed: 1371000, actuated: 1411000
[160]: sampled: 169000, processed: 2601000, actuated: 2641000
[161]: sampled: 172000, processed: 1565000, actuated: 1605000
[162]: sampled: 175000, processed: 1567000, actuated: 1607000
[163]: sampled: 179000, processed: 1419000, actuated: 1459000
[164]: sampled: 186000, processed: 1517000, actuated: 1558000
[165]: sampled: 187000, processed: 1488000, actuated: 1529000
[166]: sampled: 192000, processed: 1372000, actuated: 1412000
[167]: sampled: 170000, processed: 1532000, actuated: 1572000
[168]: sampled: 177000, processed: 1601000, actuated: 1641000
[169]: sampled: 183000, processed: 1545000, actuated: 1586000
[170]: sampled: 188000, processed: 1551000, actuated: 1591000
[171]: sampled: 162000, processed: 1555000, actuated: 1596000
[172]: sampled: 168000, processed: 1622000, actuated: 1663000
[173]: sampled: 176000, processed: 1599000, actuated: 1639000
[174]: sampled: 182000, processed: 1454000, actuated: 1494000
[175]: sampled: 190000, processed: 1247000, actuated: 1287000
[176]: sampled: 169000, processed: 1440000, actuated: 1480000
[177]: sampled: 178000, processed: 1510000, actuated: 1551000
[178]: sampled: 186000, processed: 1426000, actuated: 1466000
[179]: sampled: 193000, processed: 1525000, actuated: 1565000
[180]: sampled: 171000, processed: 1534000, actuated: 1574000
[181]: sampled: 178000, processed: 1602000, actuated: 1642000
[182]: sampled: 181000, processed: 1359000, actuated: 1400000
[183]: sampled: 187000, processed: 1304000, actuated: 1344000
[184]: sampled: 192000, processed: 1554000, actuated: 1594000
[185]: sampled: 169000, processed: 1563000, actuated: 1603000
[186]: sampled: 180000, processed: 1358000, actuated: 1398000
[187]: sampled: 191000, processed: 1494000, actuated: 1534000
[188]: sampled: 174000, processed: 1477000, actuated: 1517000
[189]: sampled: 189000, processed: 1522000, actuated: 1562000
[190]: sampled: 174000, processed: 1323000, actuated: 1363000
[191]: sampled: 187000, processed: 1581000, actuated: 1621000
[192]: sampled: 163000, processed: 1434000, actuated: 1474000
[193]: sampled: 173000, processed: 1475000, actuated: 1515000
[194]: sampled: 182000, processed: 1637000, actuated: 1677000
[195]: sampled: 192000, processed: 1432000, actuated: 1472000
[196]: sampled: 171000, processed: 1504000, actuated: 1544000
[197]: sampled: 183000, processed: 1454000, actuated: 1494000
[198]: sampled: 197000, processed: 1591000, actuated: 1631000
[199]: sampled: 182000, processed: 1514000, actuated: 1554000
[200]: sampled: 196000, processed: 1682000, actuated: 1722000
[201]: sampled: 180000, processed: 1574000, actuated: 1615000
[202]: sampled: 191000, processed: 1583000, actuated: 1624000
[203]: sampled: 163000, processed: 1433000, actuated: 1474000
[204]: sampled: 165000, processed: 1497000, actuated: 1537000
[205]: sampled: 171000, processed: 1319000, actuated: 1359000
[206]: sampled: 178000, processed: 1539000, actuated: 1579000
[207]: sampled: 182000, processed: 1789000, actuated: 1829000
[208]: sampled: 185000, processed: 1486000, actuated: 1526000
[209]: sampled: 188000, processed: 1673000, actuated: 1713000
[210]: sampled: 164000, processed: 1404000, actuated: 1445000
